dstocks,tablename
SMOOTHOREOEPR,SMOOTHOREOEPR
SMOOTHOREOSLD,SMOOTHOREOSLD
SMOOTHOREOWECR,SMOOTHOREOWECR
SNAPSAUSNSG,SNAPSAUSNSG
SNAPSAUSSGSV,SNAPSAUSSGSV
SNAPSAUSSSG,SNAPSAUSSSG
SNOWCRABBS,SNOWCRABBS
SNOWGROUPSATLC,SNOWGROUPSATLC
SNROCKPCOAST,SNROCKPCOAST
SOLECS,ICES-SOLE-[7fg]-1971-2013 / SOLECS
SOLEIIIa-2224,SOLEIIIa
SOLEIS,ICES-SOLE-[7a]-1970-2013 / SOLEIS
SOLENS,ICES-SOLE-[4]-1957-2013 / SOLENS
SOLEVIId,ICES-SOLE-[7d]-1982-2013 / SOLEVIId
SOLEVIIe,ICES-SOLE-[7e]-1969-2013 / SOLEVIIe
SOLEVIIIab,ICES-SOLE-[8ab(Biscay)]-1984-2013 / SOLEVIII
SOUTHHAKECH,SOUTHHAKECH
SOUTHHAKECR,SOUTHHAKECR
SOUTHHAKESA,SOUTHHAKESA
SPANMACKSATLC,SPANMACKSATLC
SPANMACKSETO,SPANMACKSETO
SPHAKECH,SPHAKECH
SPRAT22-32,ICES-SPRAT-[SD22-32]-1974-2013
SPRATNS,ICES-SPRAT-[IV]-1974-2013
SSLOBSTERSASC,SSLOBSTERSASC
SSTHORNHPCOAST,SSTHORNHPCOAST
STFLOUNNPCOAST,STFLOUNNPCOAST
STFLOUNSPCOAST,STFLOUNSPCOAST
STMARLINNEPAC,STMARLINNEPAC / STMARLINNPAC
STMARLINWCNPAC,STMARLINWCNPAC / STMARLINNPAC
STRIPEDBASSGOMCHATT,STRIPEDBASSGOMCHATT
SWHITSE,SWHITSE
SWORDEPAC,SWORDEPAC
SWORDIO,SWORDIO
SWORDMED,SWORDMED
SWORDNPAC,SWORDNPAC
TANNERCRABBSAI,TANNERCRABBSAI
TARAKNZ,TARAKNZ
TASGIANTCRABTAS,TASGIANTCRABTAS
TIGERFLATSE,TIGERFLATSE
TILESATLC,TILESATLC
TREVALLYTRE7,TREVALLYTRE7
TURIV,ICES-TURBOT-[IV]-1975-2012
VSNAPGM,VSNAPGM
VSNAPSATLC,VSNAPSATLC
WANGLVIIIc-IXa,ICES-ANGLERFISH-[8c9a(pisc)]-1980-2013
WAREHOUESE,WAREHOUESE
WAREHOUWSE,WAREHOUWSE
WEAKFISHATLC,WEAKFISHATLC
WHAKEGBGOM,WHAKEGBGOM
WHITMEDGSA29,WHITBLACK
WHITNS-VIId,ICES-WHITING-[4+7d]-1990-2013
WHITVIa,ICES-WHITING-[6a]-1981-2013
WHITVIIek,ICES-WHITING-[7e-k]-1982-2013
WINFLOUN5Z,WINFLOUN5Z
WINFLOUNSNEMATL,WINFLOUNSNEMATL
WITFLOUN5Y,WITFLOUN5Y
WMARLINATL,WMARLINATL
WPOLLEBS,WPOLLEBS
WPOLLNSO,WPOLLNSO
WROCKPCOAST,WROCKPCOAST
YELLCCODGOM,YELLCCODGOM
YELLGB,YELLGB
YELLSNEMATL,YELLSNEMATL
YEYEROCKPCOAST,YEYEROCKPCOAST
YFINEIO,YFINEIO
YFINEPAC,YFINEPAC
YSOLEBSAI,YSOLEBSAI
YTROCKNPCOAST,YTROCKNPCOAST
YTSNAPSATLCGM,YTSNAPSATLC
